Station (###),Cage (###),Date (dd-mmm),StartTime (24h ADT),start time (UTC),EndTime (24h ADT),Latitude (deg .min)N,Longitude (deg .min)W,Depth Deployed (m),Study Series,archived CTD file loc/name (Field 2),OPC file loc/name (Field 2),OPC Cast Number,GPS file loc/name (Field 2)
,,,,,,,,,,C:\cruises\2020_barkerboys\leg2\cage\data\cage\SBE19,C:\cruises\2020_barkerboys\leg2\cage\data\cage\OPC\OPC_Data\xlsx,,C:\cruises\2020_barkerboys\leg2\cage\data\gps\OpenCPN
3,5,19-Sep,14:20:00,17:20:00,14:29,44 54.306,66 46.828,107,,"2020-09-19_SBE19_03_007.hex
2020-09-19_SBE19_03_007_processed.hex",OPC003,3,2020September19.gpx
3,6,19-Sep,15:15:00,18:15:00,,44 53.564,66 47.251,133,,"2020-09-19_SBE19_03_008.hex
2020-09-19_SBE19_03_008_processed.hex",OPC004,4,2020September19.gpx
4,7,19-Sep,16:36:00,19:36:00,16:45,44 52.413,66 47.559,136,,"2020-09-19_SBE19_03_009.hex
2020-09-19_SBE19_03_009_processed.hex",OPC005,5,2020September19.gpx
4,8,19-Sep,17:19:00,20:19:00,17:27,44 52.036,66 48.479,135,,"2020-09-19_SBE19_03_010.hex
2020-09-19_SBE19_03_010_processed.hex",OPC006,6,2020September19.gpx
5,9,20-Sep,9:22:00,12:22:00,9:29,44 50.360,66 47.960,100,,"2020-09-20_SBE19_04_011.hex
2020-09-20_SBE19_04_011_processed.hex",OPC007,7,2020September20.gpx
5,10,20-Sep,10:08:00,13:08:00,10:17,44 50.815,66 47.507,117,,"2020-09-20_SBE19_04_012.hex
2020-09-20_SBE19_04_012_processed.hex",OPC008,8,2020September20.gpx
6,11,20-Sep,10:44:00,13:44:00,10:56,44 51.676,66 46.772,129,,"2020-09-20_SBE19_04_013.hex
2020-09-20_SBE19_04_13_processed.hex",OPC009,9,2020September20.gpx
6,12,20-Sep,11:33:00,14:33:00,,44 52.214,66 46.464,138,,"2020-09-20_SBE19_04_014.hex
2020-09-20_SBE19_04_014_processed.hex",OPC010,10,2020September20.gpx
7,13,20-Sep,12:58:00,15:58:00,13:08,44 53.088,66 46.189,134,,"2020-09-20_SBE19_04_015.hex
2020-09-20_SBE19_04_015_processed.hex",OPC011,11,2020September20.gpx
7,14,20-Sep,14:18:00,17:18:00,,44 53.544,66 45.692,122,,"2020-09-20_SBE19_04_016.hex
2020-09-20_SBE19_04_016_processed.hex",OPC012,12,2020September20.gpx
8,15,21-Sep,10:52:00,13:52:00,11:03,44 41.131,66 29.129,172,,"2020-09-21_SBE19_05_017.hex
2020-09-21_SBE19_05_017_processed.hex",OPC013,13,2020September21.gpx
8,16,21-Sep,11:39:00,14:39:00,,44 41.881,66 29.064,165,,"2020-09-21_SBE19_05_018.hex
2020-09-21_SBE19_05_018_processed.hex",OPC014,14,2020September21.gpx
9,17,21-Sep,12:33:00,15:33:00,12:44,44 43.605,66 28.549,150,,"2020-09-21_SBE19_05_019.hex
2020-09-21_SBE19_05_019_processed.hex",OPC015,15,2020September21.gpx
9,18,21-Sep,13:14:00,16:14:00,13:55,44 44.322,66 28.690,158,,"2020-09-21_SBE19_05_020.hex
2020-09-21_SBE19_05_020_processed.hex",OPC016,16,2020September21.gpx
10,19,21-Sep,14:12:00,17:12:00,14:23,44 45.961,66 28.259,158,,"2020-09-21_SBE19_05_021.hex
2020-09-21_SBE19_05_021_processed.hex",OPC017,17,2020September21.gpx
10,20,21-Sep,14:56:00,17:56:00,,44 46.467,66 28.699,157,,"2020-09-21_SBE19_05_022.hex
2020-09-21_SBE19_05_022_processed.hex",OPC018,18,2020September21.gpx
11,21,24-Sep,11:59:00,14:59:00,12:08,44 40.582,66 29.350,175,,"2020-09-24_SBE19_06_023.hex
2020-09-24_SBE19_06_023_processed.hex",OPC019,19,2020September24.gpx
11,22,24-Sep,12:59:00,15:59:00,13:11,44 40.026,66 28.355,180,,"2020-09-24_SBE19_06_024.hex
2020-09-24_SBE19_06_024_processed.hex",OPC020,20,2020September24.gpx
12,23,24-Sep,13:37:00,16:37:00,,44 41.278,66 28.972,170,,"2020-09-24_SBE19_06_025.hex
2020-09-24_SBE19_06_025_processed.hex",OPC021,21,2020September24.gpx
12,24,24-Sep,14:27:00,17:27:00,14:35,44 42.369,66 28.930,162,,"2020-09-24_SBE19_06_026.hex
2020-09-24_SBE19_06_026_processed.hex",OPC022,22,2020September24.gpx
13,25,24-Sep,15:02:00,18:02:00,15:12,44 44.418,66 28.772,155,,"2020-09-24_SBE19_06_027.hex
2020-09-24_SBE19_06_027_processed.hex",OPC023,23,2020September24.gpx
13,26,24-Sep,15:46:00,18:46:00,15:55,44 45.900,66 28.804,155,,"2020-09-24_SBE19_06_028.hex
2020-09-24_SBE19_06_028_processed.hex",OPC024,24,2020September24.gpx
14,27,24-Sep,16:07:00,19:07:00,16:16,44 46.743,66 28.678,153,,"2020-09-24_SBE19_06_029.hex
2020-09-24_SBE19_06_029_processed.hex",OPC025,25,2020September24.gpx
14,28,24-Sep,16:48:00,19:48:00,,44 46.409,66 28.628,155,,"2020-09-24_SBE19_06_030.hex
2020-09-24_SBE19_06_030_processed.hex",OPC026,26,2020September24.gpx
15,29,25-Sep,13:02:00,16:02:00,13:13,44 40.485,66 29.418,176,,"2020-09-25_SBE19_07_031.hex
2020-09-25_SBE19_07_031_processed.hex",OPC027,27,2020September25.gpx
15,30,25-Sep,13:51:00,16:51:00,,44 41.080,66 29.431,171,,"2020-09-25_SBE19_07_032.hex
2020-09-25_SBE19_07_032_processed.hex",OPC028,28,2020September25.gpx
16,31,25-Sep,14:28:00,17:28:00,14:41,44 41.140,66 29.418,171,,"2020-09-25_SBE19_07_033.hex
2020-09-25_SBE19_07_033_processed.hex",OPC029,29,2020September25.gpx
16,32,25-Sep,15:16:00,18:16:00,15:27,44 42.105,66 29.613,163,,"2020-09-25_SBE19_07_034.hex
2020-09-25_SBE19_07_034_processed.hex",OPC030,30,2020September25.gpx
17,33,25-Sep,15:55:00,18:55:00,16:06,44 42.159,66 29.605,164,,"2020-09-25_SBE19_07_035.hex
2020-09-25_SBE19_07_035_processed.hex",OPC031,31,2020September25.gpx
17,34,25-Sep,16:38:00,19:38:00,,44 43.261,66 29.648,159,,"2020-09-25_SBE19_07_036.hex
2020-09-25_SBE19_07_036_processed.hex",OPC032,32,2020September25.gpx
18,35,26-Sep,9:24:00,12:24:00,9:32,44 53.602,66 46.633,128,,"2020-09-26_SBE19_08_037.hex
2020-09-26_SBE19_08_037_processed.hex",OPC033,33,2020September26.gpx
18,36,26-Sep,10:03:00,13:03:00,10:11,44 52.988,66 47.363,140,,"2020-09-26_SBE19_08_038.hex
2020-09-26_SBE19_08_038_processed.hex",OPC034,34,2020September26.gpx
19,37,26-Sep,10:36:00,13:36:00,10:44,44 52.343,66 47.548,138,,"2020-09-26_SBE19_08_039.hex
2020-09-26_SBE19_08_039_processed.hex",OPC035,35,2020September26.gpx
19,38,26-Sep,11:14:00,14:14:00,11:22,44 51.603,66 47.758,134,,"2020-09-26_SBE19_08_040.hex
2020-09-26_SBE19_08_040_processed.hex",OPC036,36,2020September26.gpx
20,39,26-Sep,11:34:00,14:34:00,11:40,44 50.966,66 48.263,120,,"2020-09-26_SBE19_08_041.hex
2020-09-26_SBE19_08_041_processed.hex",OPC037,37,2020September26.gpx
20,40,26-Sep,12:10:00,15:10:00,12:17,44 50.324,66 48.011,103,,"2020-09-26_SBE19_08_042.hex
2020-09-26_SBE19_08_042_processed.hex",OPC038,38,2020September26.gpx